package,kind,V1_typosquatting,V2_install_execution,V3_obfuscation,V4_command_execution,V5_insecure_deserialization,V6_encoding,V7_network_exfiltration
http3-client,archive,1,0,0,0,0,0,1
hackedhydra,archive,0,0,0,1,0,0,0
hydrastr,archive,0,0,0,1,0,0,0
testpipxyz,archive,0,0,0,0,0,0,0
atlasctf-21-prod-09,dir,0,1,0,0,0,0,1
esqrepep,archive,0,0,0,1,0,0,0
tppywultraint,archive,0,0,0,1,0,0,0
tpurlpaypalcraft,archive,0,0,0,1,0,0,0
youhans,archive,0,1,0,1,0,1,1
etherriuum,archive,0,1,0,1,0,0,1
selfhackedrandomstudy,archive,0,0,0,1,0,0,0
bupi-utils,archive,1,1,0,1,0,0,1
python-binancce,archive,1,0,0,0,0,0,0
ycryptodome,archive,1,1,0,1,0,0,1
larpexodus,archive,0,1,0,1,0,0,1
selfvirtualinfoencode,archive,0,0,0,1,0,0,0
beautifulsoup,archive,1,0,0,0,0,0,0
tphackedsplitcraft,archive,0,0,0,1,0,0,0
tprandpong,archive,0,0,0,1,0,0,0
stubsout,archive,0,0,0,0,0,0,1
esqgetcontrolpost,archive,0,0,0,1,0,0,0
hydraintel,archive,0,0,0,1,0,0,0
toolget,archive,0,0,0,1,0,0,0
xboxsolver,dir,0,0,0,1,0,0,0
pyfastdownload,dir,0,0,0,1,0,0,0
puffioner131,dir,0,1,0,1,0,0,1
syntax-init,dir,0,0,0,1,0,0,0
atlasctf-21-prod-04,dir,0,1,0,0,0,0,1
py-cordd,archive,1,1,0,1,0,0,1
esqreplacemaskcraft,archive,0,0,0,1,0,0,0
prompt-tooklit,archive,1,0,0,0,0,0,0
reportgenpub,dir,0,1,0,1,0,0,1
sanic-prometheus-qubit,archive,0,1,0,0,0,0,1
pprompt-toolkit,archive,1,0,0,0,0,0,0
fantasia3d,dir,0,1,0,0,0,1,1
yellyproxies,archive,0,0,0,1,0,1,1
libultrapushload,archive,0,0,0,1,0,0,0
selfgamevirtualad,archive,0,0,0,1,0,0,0
tpintvisahacked,archive,0,0,0,1,0,0,0
tinyad1,dir,1,1,0,1,0,1,1
scikit-lear,archive,1,0,0,0,0,0,0
librandstringpull,archive,0,0,0,1,0,0,0
