package,label,source,pyscan_malicious,clamav_malicious,clamav_signatures
maskhydra-6.67.tar.gz,malicious,malregistry,True,False,
pycrypterexe-1.0.5,malicious,datadog,True,False,
pptest-999.0.20.tar.gz,malicious,malregistry,False,False,
pyportfoliopt-1.5.4.tar.gz,malicious,malregistry,False,False,
selfpingram-4.89.tar.gz,malicious,malregistry,True,False,
tpedinfo-7.19.tar.gz,malicious,malregistry,True,False,
xolovzgfkdamoj-0.0.0.tar.gz,malicious,malregistry,True,False,
rrequests-toolbelt-0.1.tar.gz,malicious,malregistry,True,False,
selfedgamestudy-5.59.tar.gz,malicious,malregistry,True,False,
tpnvidiaintelpush-10.44.tar.gz,malicious,malregistry,True,False,
safepackage-1337.0.2.tar.gz,malicious,malregistry,True,False,
wadokwaokda-0.0.0.tar.gz,malicious,malregistry,True,False,
guipush-9.29.tar.gz,malicious,malregistry,True,False,
libosintultrapyw-7.66.tar.gz,malicious,malregistry,True,False,
servantcord-1.0.3.tar.gz,malicious,malregistry,True,False,
py-codrd-1.0.0.tar.gz,malicious,malregistry,True,False,
ethaddrlib-0.1.1.tar.gz,malicious,malregistry,False,False,
psocks-0.1.tar.gz,malicious,malregistry,True,False,
bigip-99.0.0.tar.gz,malicious,malregistry,False,False,
controlvisa-4.10.tar.gz,malicious,malregistry,True,False,
faiss-gp-1.0.2.tar.gz,malicious,malregistry,True,False,
1inch-8.7.tar.gz,malicious,malregistry,True,False,
r4quests-2.28.1.tar.gz,malicious,malregistry,True,False,
aliyun_ai_labs_snippets_sdk-1.0.0,malicious,datadog,True,False,
selfmaskintelpong-2.63.tar.gz,malicious,malregistry,True,False,
imad213,malicious,datadog,False,False,
syscolouringkitsv2-1.0.0-py3-none-any.tar.gz,malicious,malregistry,False,False,
cusgtomtkinter-1.0.0.tar.gz,malicious,malregistry,True,False,
libtoolsplit-10.17.tar.gz,malicious,malregistry,True,False,
pybetterascii-1.0,malicious,datadog,True,False,
libhttppip-9.91.tar.gz,malicious,malregistry,True,False,
liburlstringping-3.86,malicious,datadog,True,False,
selfpippaypalpyw-2.49,malicious,datadog,True,False,
modernreqs,malicious,datadog,True,False,
spellcheckers,malicious,datadog,False,False,
ezbeamer-0.0.0.tar.gz,malicious,malregistry,True,False,
