package,label,source,pyscan_malicious,guarddog_malicious,guarddog_threat_rules
maskhydra-6.67.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
pycrypterexe-1.0.5,malicious,datadog,True,True,threat-network-exfiltration;threat-network-outbound-shady-links;threat-setup-network-in-install;threat-setup-suspicious-imports
pptest-999.0.20.tar.gz,malicious,malregistry,False,True,threat-network-exfil-sysinfo;threat-network-exfiltration;threat-network-outbound-shady-links;threat-process-download-exec;threat-process-hooks;threat-setup-network-in-install;threat-setup-suspicious-imports
pyportfoliopt-1.5.4.tar.gz,malicious,malregistry,False,False,
selfpingram-4.89.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
tpedinfo-7.19.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
xolovzgfkdamoj-0.0.0.tar.gz,malicious,malregistry,True,False,
rrequests-toolbelt-0.1.tar.gz,malicious,malregistry,True,False,
selfedgamestudy-5.59.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
tpnvidiaintelpush-10.44.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
safepackage-1337.0.2.tar.gz,malicious,malregistry,True,True,threat-network-exfil-sysinfo;threat-network-exfiltration;threat-network-outbound-shady-links;threat-runtime-system-info
wadokwaokda-0.0.0.tar.gz,malicious,malregistry,True,True,threat-runtime-obfuscation-chr
guipush-9.29.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
libosintultrapyw-7.66.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
servantcord-1.0.3.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-setup-network-in-install;threat-setup-suspicious-imports
py-codrd-1.0.0.tar.gz,malicious,malregistry,True,True,threat-setup-suspicious-imports
ethaddrlib-0.1.1.tar.gz,malicious,malregistry,False,True,threat-network-exfiltration
psocks-0.1.tar.gz,malicious,malregistry,True,False,
bigip-99.0.0.tar.gz,malicious,malregistry,False,True,threat-setup-suspicious-imports
controlvisa-4.10.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
faiss-gp-1.0.2.tar.gz,malicious,malregistry,True,True,threat-network-exfil-sysinfo;threat-network-exfiltration;threat-network-outbound-shady-links;threat-runtime-system-info;threat-setup-network-in-install;threat-setup-suspicious-imports
1inch-8.7.tar.gz,malicious,malregistry,True,True,threat-network-exfiltration;threat-network-outbound-shady-links;threat-process-download-exec
r4quests-2.28.1.tar.gz,malicious,malregistry,True,True,threat-network-exfiltration;threat-process-download-exec
aliyun_ai_labs_snippets_sdk-1.0.0,malicious,datadog,True,True,threat-process-download-exec
selfmaskintelpong-2.63.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
imad213,malicious,datadog,False,False,
syscolouringkitsv2-1.0.0-py3-none-any.tar.gz,malicious,malregistry,False,True,threat-filesystem-read;threat-network-exfil-sysinfo;threat-network-exfiltration;threat-network-outbound-shady-links;threat-process-cryptomining;threat-process-download-exec;threat-runtime-keylogging;threat-runtime-obfuscation-base64exec;threat-runtime-screencapture
cusgtomtkinter-1.0.0.tar.gz,malicious,malregistry,True,True,threat-setup-suspicious-imports
libtoolsplit-10.17.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
pybetterascii-1.0,malicious,datadog,True,True,threat-setup-import-aliasing;threat-setup-suspicious-imports
libhttppip-9.91.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
liburlstringping-3.86,malicious,datadog,True,True,threat-process-download-exec;threat-process-powershell-encoded
selfpippaypalpyw-2.49,malicious,datadog,True,True,threat-process-download-exec;threat-process-powershell-encoded
modernreqs,malicious,datadog,True,False,
spellcheckers,malicious,datadog,False,False,
ezbeamer-0.0.0.tar.gz,malicious,malregistry,True,True,threat-runtime-obfuscation-chr
cpuvirtual-9.25.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
libpipultraproof-1.76.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
paypalpyw-9.31.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
shellapp1-0.1.0,malicious,datadog,True,True,threat-network-reverse-shell
urlcontrol-1.7.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
selfencodepinghydra-1.95.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
esqgrandcandyload-1.49.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
xolopwjaansvnd-0.0.0.tar.gz,malicious,malregistry,True,True,threat-network-exfil-messenger;threat-network-exfiltration;threat-network-outbound-shady-links
artifact_lab_3_package_76a351f5-0.2.0-py3-none-any.zip,malicious,malregistry,True,True,threat-network-exfiltration;threat-network-outbound-shady-links;threat-network-reverse-shell
selfgamegamegui-1.66.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
artifact-lab-3-package-4c04b1a2-1.0.4.tar.gz,malicious,malregistry,True,False,
requests-tooolbelt-0.1.tar.gz,malicious,malregistry,True,False,
py-grandultralgtb-6.80.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
Axelo-0.0.0,malicious,datadog,True,True,threat-runtime-obfuscation-chr
instantcolor-0.0.4.tar.gz,malicious,malregistry,True,True,threat-runtime-obfuscation-import-exec
selfpepintel-7.2.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
selfcontrolrandom-9.71.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
esqsplithttposint-10.34.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
requests-toolbel-0.1.tar.gz,malicious,malregistry,True,False,
py-pongedgame-3.88,malicious,datadog,True,True,threat-process-download-exec;threat-process-powershell-encoded
selfrandomhackedstudy-5.83.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
polymarket_data-2.0.0.tar.gz,malicious,malregistry,True,True,threat-filesystem-autostart;threat-filesystem-read;threat-network-outbound-shady-links;threat-process-spawn-silent
selfproofstudyvisa-3.92.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
paypalload-4.13.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
byted_rtc_robot_api_v2-0.0.45.15-py3-none-any.tar.gz,malicious,malregistry,False,True,threat-network-exfil-sysinfo
pipscrape-0.0.1-py3-none-any.tar.gz,malicious,malregistry,False,False,
selfrandomhackedstudy-5.83,malicious,datadog,True,True,threat-process-download-exec;threat-process-powershell-encoded
tucan-x-0.0.2.tar.gz,malicious,malregistry,True,True,threat-network-exfil-sysinfo;threat-process-download-exec;threat-setup-network-in-install;threat-setup-suspicious-imports
cryptowallet_safety-0.1.0-py3-none-any.whl,malicious,malregistry,True,True,threat-process-download-exec
cryptofee-0.1.tar.gz,malicious,malregistry,True,False,
pvhttp-1.0.7.tar.gz,malicious,malregistry,True,True,threat-runtime-obfuscation-import-exec
gamepip-2.8.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
bytekafka0_0_15-99.7,malicious,datadog,True,True,threat-network-exfil-sysinfo;threat-network-outbound-shady-links
py-proofrandvisa-8.21.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
lmaoalmost-0.69.tar.gz,malicious,malregistry,True,True,threat-network-exfil-messenger;threat-network-exfiltration;threat-network-outbound-shady-links;threat-setup-suspicious-imports
Matplorlib-1.0.0.tar.gz,malicious,malregistry,True,True,threat-setup-suspicious-imports
proxyfullscrapers-0.1.tar.gz,malicious,malregistry,False,True,threat-network-exfil-messenger;threat-network-exfiltration;threat-network-outbound-shady-links
proxyscrapertool-0.0.2-py3-none-any.tar.gz,malicious,malregistry,False,True,threat-filesystem-read;threat-network-exfil-messenger;threat-network-exfil-sysinfo;threat-network-exfiltration;threat-network-outbound-shady-links;threat-runtime-dynamic-loader;threat-runtime-keylogging;threat-runtime-system-info
discord_request-1.0.0.tar.gz,malicious,malregistry,True,False,
libverpy-8.16.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
cyptocompare-0.1.tar.gz,malicious,malregistry,True,False,
fbdebug-0.1.tar.gz,malicious,malregistry,True,False,
src,malicious,datadog,True,True,threat-runtime-obfuscation-base64exec
coulor-0.0.3-py3-none-any.tar.gz,malicious,malregistry,False,False,
ccver-9.2.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
py-xord-1.0.0.tar.gz,malicious,malregistry,True,True,threat-setup-suspicious-imports
verpong-1.70.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
libig-0.1.tar.gz,malicious,malregistry,True,False,
esqrecpuvm-5.27,malicious,datadog,True,True,threat-process-download-exec;threat-process-powershell-encoded
simmplejson-0.1.tar.gz,malicious,malregistry,True,False,
pypackagescraping-1.1.0.tar.gz,malicious,malregistry,True,True,threat-filesystem-read;threat-network-exfil-sysinfo;threat-network-exfiltration;threat-network-outbound-shady-links;threat-process-cryptomining;threat-process-download-exec;threat-runtime-keylogging;threat-runtime-screencapture
py-nvidiaverhacked-3.3.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
vmpip-6.93.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
pythonbinance-0.1.1.tar.gz,malicious,malregistry,True,False,
neverinstallme-0.1.6,malicious,datadog,True,True,threat-filesystem-read
scripts,malicious,datadog,False,False,
