package,label,source,pyscan_malicious,vt_detections,vt_malicious,vt_top_engines
maskhydra-6.67.tar.gz,malicious,malregistry,True,2,True,Kaspersky;ZoneAlarm
pycrypterexe-1.0.5,malicious,datadog,True,0,False,
pptest-999.0.20.tar.gz,malicious,malregistry,False,0,False,
pyportfoliopt-1.5.4.tar.gz,malicious,malregistry,False,4,True,Kaspersky;Sangfor;TrendMicro;ZoneAlarm
selfpingram-4.89.tar.gz,malicious,malregistry,True,2,True,Kaspersky;ZoneAlarm
tpedinfo-7.19.tar.gz,malicious,malregistry,True,2,True,Kaspersky;ZoneAlarm
xolovzgfkdamoj-0.0.0.tar.gz,malicious,malregistry,True,2,True,Google;Ikarus
rrequests-toolbelt-0.1.tar.gz,malicious,malregistry,True,2,True,Kaspersky;ZoneAlarm
selfedgamestudy-5.59.tar.gz,malicious,malregistry,True,2,True,Kaspersky;ZoneAlarm
tpnvidiaintelpush-10.44.tar.gz,malicious,malregistry,True,2,True,Kaspersky;ZoneAlarm
safepackage-1337.0.2.tar.gz,malicious,malregistry,True,0,False,
wadokwaokda-0.0.0.tar.gz,malicious,malregistry,True,2,True,Google;Ikarus
guipush-9.29.tar.gz,malicious,malregistry,True,2,True,Kaspersky;ZoneAlarm
libosintultrapyw-7.66.tar.gz,malicious,malregistry,True,1,False,Kaspersky
servantcord-1.0.3.tar.gz,malicious,malregistry,True,0,False,
py-codrd-1.0.0.tar.gz,malicious,malregistry,True,2,True,Kaspersky;ZoneAlarm
ethaddrlib-0.1.1.tar.gz,malicious,malregistry,False,0,False,
psocks-0.1.tar.gz,malicious,malregistry,True,2,True,Kaspersky;ZoneAlarm
bigip-99.0.0.tar.gz,malicious,malregistry,False,0,False,
controlvisa-4.10.tar.gz,malicious,malregistry,True,2,True,Kaspersky;ZoneAlarm
faiss-gp-1.0.2.tar.gz,malicious,malregistry,True,0,False,
1inch-8.7.tar.gz,malicious,malregistry,True,19,True,Arcabit;BitDefender;CTX;ESET-NOD32;Emsisoft
r4quests-2.28.1.tar.gz,malicious,malregistry,True,0,False,
aliyun_ai_labs_snippets_sdk-1.0.0,malicious,datadog,True,0,False,
selfmaskintelpong-2.63.tar.gz,malicious,malregistry,True,1,False,Kaspersky
imad213,malicious,datadog,False,0,False,
syscolouringkitsv2-1.0.0-py3-none-any.tar.gz,malicious,malregistry,False,31,True,ALYac;Alibaba;Arcabit;BitDefender;CAT-QuickHeal
cusgtomtkinter-1.0.0.tar.gz,malicious,malregistry,True,2,True,Kaspersky;ZoneAlarm
libtoolsplit-10.17.tar.gz,malicious,malregistry,True,1,False,Kaspersky
pybetterascii-1.0,malicious,datadog,True,11,True,AVG;Avast;ESET-NOD32;Fortinet;Google
libhttppip-9.91.tar.gz,malicious,malregistry,True,1,False,Kaspersky
liburlstringping-3.86,malicious,datadog,True,2,True,Kaspersky;ZoneAlarm
selfpippaypalpyw-2.49,malicious,datadog,True,2,True,Kaspersky;ZoneAlarm
modernreqs,malicious,datadog,True,0,False,
spellcheckers,malicious,datadog,False,0,False,
ezbeamer-0.0.0.tar.gz,malicious,malregistry,True,2,True,Google;Ikarus
cpuvirtual-9.25.tar.gz,malicious,malregistry,True,2,True,Kaspersky;NANO-Antivirus
libpipultraproof-1.76.tar.gz,malicious,malregistry,True,1,False,Kaspersky
paypalpyw-9.31.tar.gz,malicious,malregistry,True,2,True,Kaspersky;ZoneAlarm
shellapp1-0.1.0,malicious,datadog,True,0,False,
trimesh-5.0.0.tar.gz,benign,trimesh-5.0.0,False,0,False,
st_tldraw-0.0.2.tar.gz,benign,pypi_random,False,0,False,
deal-4.24.6.tar.gz,benign,pypi_random,False,0,False,
typora-git-uploader-1.0.0.tar.gz,benign,pypi_random,True,0,False,
cuda_bindings-13.3.1-cp310-cp310-manylinux_2_24_aarch64.manylinux_2_28_aarch64.whl,benign,cuda-bindings-13.3.1,False,0,False,
referencing-0.37.0.tar.gz,benign,referencing-0.37.0,False,0,False,
jiter-0.16.0.tar.gz,benign,jiter-0.16.0,False,0,False,
bst.pygasus.core-1.0.1.tar.gz,benign,pypi_random,False,0,False,
awscli-1.46.0.tar.gz,benign,awscli-1.46.0,False,0,False,
opentelemetry_instrumentation_grpc-0.65b0.tar.gz,benign,opentelemetry-instrumentation-grpc-0.65b0,False,0,False,
google_cloud_bigtable-2.41.0.tar.gz,benign,google-cloud-bigtable-2.41.0,False,0,False,
fredo_analyst-1.0.0.tar.gz,benign,pypi_random,True,0,False,
pytest_socket-0.8.0.tar.gz,benign,pytest-socket-0.8.0,False,0,False,
google_cloud_appengine_logging-1.10.0.tar.gz,benign,google-cloud-appengine-logging-1.10.0,False,0,False,
h11-0.16.0.tar.gz,benign,h11-0.16.0,False,0,False,
is_it_slop_preprocessing-0.6.3.tar.gz,benign,pypi_random,False,0,False,
bleach-6.4.0.tar.gz,benign,bleach-6.4.0,False,0,False,
jupyter_server-2.20.0.tar.gz,benign,jupyter-server-2.20.0,False,0,False,
marko-2.2.4.tar.gz,benign,marko-2.2.4,False,0,False,
mkdocs-1.6.1.tar.gz,benign,mkdocs-1.6.1,False,0,False,
pytest-runner-6.0.1.tar.gz,benign,pytest-runner-6.0.1,False,0,False,
shapeandshare_fingerprint_dataset-0.4.2.tar.gz,benign,pypi_random,False,0,False,
opentelemetry_instrumentation_urllib3-0.65b0.tar.gz,benign,opentelemetry-instrumentation-urllib3-0.65b0,False,0,False,
opentelemetry_exporter_gcp_trace-1.14.0.tar.gz,benign,opentelemetry-exporter-gcp-trace-1.14.0,False,0,False,
agent_client_protocol-0.12.1.tar.gz,benign,agent-client-protocol-0.12.1,False,0,False,
sagemaker_studio-1.1.30.tar.gz,benign,sagemaker-studio-1.1.30,False,0,False,
py_vapid-1.9.4.tar.gz,benign,py-vapid-1.9.4,False,0,False,
rfc3339_validator-0.1.4.tar.gz,benign,rfc3339-validator-0.1.4,False,0,False,
toons-0.7.0.tar.gz,benign,toons-0.7.0,False,0,False,
enum-compat-0.0.3.tar.gz,benign,enum-compat-0.0.3,False,0,False,
trafilatura-2.2.0.tar.gz,benign,trafilatura-2.2.0,False,0,False,
natsort-8.4.0.tar.gz,benign,natsort-8.4.0,False,0,False,
rlp-4.1.0.tar.gz,benign,rlp-4.1.0,False,0,False,
tree_sitter_c-0.24.2.tar.gz,benign,tree-sitter-c-0.24.2,False,0,False,
pyahocorasick-2.3.1.tar.gz,benign,pyahocorasick-2.3.1,False,0,False,
ghp-import-2.1.0.tar.gz,benign,ghp-import-2.1.0,False,0,False,
habluetooth-6.26.5.tar.gz,benign,habluetooth-6.26.5,False,0,False,
diffusers-0.39.0.tar.gz,benign,diffusers-0.39.0,False,0,False,
arxiv-4.0.1.tar.gz,benign,arxiv-4.0.1,False,0,False,
bedrock_agentcore-1.21.0.tar.gz,benign,bedrock-agentcore-1.21.0,False,0,False,
